Wall time,Step,Value
1685445052.6823351,100,8.414840698242188
1685445185.7062569,200,7.482039928436279
1685445315.441477,300,7.46483850479126
1685445449.380791,400,7.312717914581299
1685445572.6044056,500,6.346809387207031
1685445577.964058,500,6.9177021980285645
1685445711.0800536,600,6.7292351722717285
1685445841.6466804,700,6.050404071807861
1685445847.4852703,700,6.4492716789245605
1685445977.9623904,800,6.237478733062744
1685446108.2282035,900,5.876536846160889
1685446113.9942489,900,6.177631855010986
1685446237.6373773,1000,5.170118808746338
1685446368.6782146,1100,5.572022914886475
1685446374.0004992,1100,5.686854362487793
1685446503.2222407,1200,5.733898162841797
1685446620.911964,1300,5.592202663421631
1685446626.7186735,1300,5.137757778167725
1685446756.356524,1400,5.6767578125
1685446761.9730616,1400,5.010343551635742
1685446875.4783118,1500,5.523072242736816
1685446989.3166687,1600,5.093332767486572
1685447107.5267584,1700,5.321111679077148
1685447113.1195993,1700,5.795097827911377
1685447231.3943355,1800,5.376192092895508
1685447236.545768,1800,5.725635528564453
1685447355.5338457,1900,5.051605224609375
1685447484.2450688,2000,5.6824750900268555
